CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12397,136.0,2,2409.9,2,2,5,225,Big Spenders
12398,46.0,1,1635.66,4,1,4,414,Others
12399,2.0,4,1108.65,5,4,4,544,Recent Customers
12401,99.0,1,84.3,3,1,1,311,Others
12402,324.0,1,225.6,1,1,1,111,Lost
12403,50.0,1,427.7,4,1,2,412,Others
12405,149.0,1,1710.39,2,1,4,214,Others
12406,95.0,1,1621.25,3,1,4,314,Others
12407,50.0,5,1708.12,4,4,4,444,Others
12408,152.0,5,2888.55,2,4,5,245,Big Spenders
12409,65.0,3,11072.67,4,3,5,435,Big Spenders
12410,252.0,2,693.33,1,2,3,123,At Risk
12412,75.0,3,1226.88,3,3,4,334,Others
12413,192.0,2,563.9,2,2,3,223,Others
12414,188.0,3,562.41,2,3,3,233,Others
12415,70.0,17,103087.36,4,5,5,455,Loyal Customers
12417,40.0,9,3649.1,5,5,5,555,Champions
12418,113.0,1,668.58,3,1,3,313,Others
12421,115.0,3,628.56,3,3,3,333,Others
12422,169.0,3,803.56,2,3,3,233,Others
12423,89.0,8,1859.31,3,5,4,354,Loyal Customers
12424,163.0,2,1760.96,2,2,4,224,Others
12425,79.0,1,777.2,3,1,3,313,Others
12426,195.0,1,582.73,2,1,3,213,Others
12427,638.0,1,303.5,1,1,2,112,At Risk
12428,32.0,8,7548.12,5,5,5,555,Champions
12429,173.0,3,2844.88,2,3,5,235,Big Spenders
12430,44.0,1,256.4,4,1,2,412,Others
12431,2.0,12,5476.01,5,5,5,555,Champions
12432,43.0,5,5059.32,5,4,5,545,Recent Customers
12433,44.0,6,10532.58,4,5,5,455,Loyal Customers
12434,85.0,2,806.14,3,2,3,323,Others
12435,80.0,2,7829.89,3,2,5,325,Big Spenders
12436,335.0,1,509.01,1,1,3,113,At Risk
12437,9.0,16,4460.4,5,5,5,555,Champions
12438,141.0,1,890.07,2,1,4,214,Others
12441,485.0,1,173.55,1,1,1,111,Lost
12442,181.0,1,172.06,2,1,1,211,Others
12444,63.0,3,3189.81,4,3,5,435,Big Spenders
12446,58.0,1,1002.31,4,1,4,414,Others
12447,67.0,1,476.49,4,1,3,413,Others
12448,45.0,1,449.45,4,1,2,412,Others
12449,92.0,3,2724.58,3,3,5,335,Big Spenders
12450,174.0,2,197.88,2,2,1,221,Others
12451,219.0,2,5307.82,1,2,5,125,Big Spenders
12453,135.0,1,707.09,2,1,3,213,Others
12454,57.0,1,3528.34,4,1,5,415,Big Spenders
12455,74.0,6,2466.86,3,5,5,355,Loyal Customers
12456,45.0,3,3181.04,4,3,5,435,Big Spenders
12457,82.0,6,2166.88,3,5,5,355,Loyal Customers
12458,72.0,2,947.4,3,2,4,324,Others
12461,125.0,2,826.88,2,2,3,223,Others
12462,99.0,1,762.11,3,1,3,313,Others
12463,6.0,4,1344.78,5,4,4,544,Recent Customers
12464,107.0,6,780.55,3,5,3,353,Loyal Customers
12465,170.0,1,440.94,2,1,2,212,Others
12468,218.0,2,729.54,1,2,3,123,At Risk
12471,79.0,23,14744.39,3,5,5,355,Loyal Customers
12472,52.0,7,6572.11,4,5,5,455,Loyal Customers
12473,54.0,5,3938.55,4,4,5,445,Big Spenders
12474,3.0,15,5674.7,5,5,5,555,Champions
12475,54.0,1,723.38,4,1,3,413,Others
12476,46.0,9,4822.43,4,5,5,455,Loyal Customers
12477,38.0,4,10122.81,5,4,5,545,Recent Customers
12478,181.0,1,680.99,2,1,3,213,Others
12480,29.0,4,3281.63,5,4,5,545,Recent Customers
12481,162.0,8,4101.76,2,5,5,255,Loyal Customers
12483,35.0,7,2078.26,5,5,5,555,Champions
12484,101.0,6,4541.72,3,5,5,355,Loyal Customers
12488,40.0,2,767.45,5,2,3,523,Recent Customers
12489,162.0,1,334.93,2,1,2,212,Others
12490,96.0,8,4648.33,3,5,5,355,Loyal Customers
12491,333.0,1,460.4,1,1,3,113,At Risk
12492,106.0,1,126.39,3,1,1,311,Others
12493,166.0,2,433.74,2,2,2,222,Others
12494,41.0,6,1083.6,5,5,4,554,Recent Customers
12497,82.0,1,1043.1,3,1,4,314,Others
12498,58.0,1,247.25,4,1,2,412,Others
12500,50.0,9,3490.53,4,5,5,455,Loyal Customers
12501,162.0,1,2169.39,2,1,5,215,Big Spenders
12502,188.0,5,3723.87,2,4,5,245,Big Spenders
12504,90.0,1,449.4,3,1,2,312,Others
12506,233.0,1,73.5,1,1,1,111,Lost
12507,135.0,3,1304.81,2,3,4,234,Others
12508,60.0,1,275.19,4,1,2,412,Others
12509,285.0,1,176.5,1,1,1,111,Lost
12510,143.0,2,982.57,2,2,4,224,Others
12513,113.0,1,612.29,3,1,3,313,Others
12514,268.0,1,1017.68,1,1,4,114,At Risk
12515,354.0,1,383.7,1,1,2,112,At Risk
12516,4.0,2,1312.06,5,2,4,524,Recent Customers
12517,29.0,5,2502.84,5,4,5,545,Recent Customers
12518,29.0,4,1675.83,5,4,4,544,Recent Customers
12520,37.0,5,2634.26,5,4,5,545,Recent Customers
12521,143.0,1,599.68,2,1,3,213,Others
12522,40.0,2,192.72,5,2,1,521,Recent Customers
12523,9.0,9,1370.35,5,5,4,554,Recent Customers
12524,70.0,6,3122.48,4,5,5,455,Loyal Customers
12526,54.0,3,1316.66,4,3,4,434,Others
12527,82.0,3,348.71,3,3,2,332,Others
12528,115.0,4,1287.37,3,4,4,344,Others
12530,124.0,3,1221.65,2,3,4,234,Others
12532,90.0,1,349.83,3,1,2,312,Others
12534,336.0,1,1089.18,1,1,4,114,At Risk
12535,92.0,2,716.35,3,2,3,323,Others
12536,44.0,2,8322.12,4,2,5,425,Big Spenders
12538,60.0,1,363.95,4,1,2,412,Others
12539,70.0,3,4517.69,4,3,5,435,Big Spenders
12540,39.0,15,12089.17,5,5,5,555,Champions
12541,60.0,3,981.18,4,3,4,434,Others
12544,274.0,1,372.7,1,1,2,112,At Risk
12545,76.0,2,1000.39,3,2,4,324,Others
12546,47.0,2,1161.5,4,2,4,424,Others
12547,198.0,2,207.8,2,2,1,221,Others
12548,167.0,1,95.2,2,1,1,211,Others
12550,80.0,1,964.83,3,1,4,314,Others
12551,358.0,1,168.0,1,1,1,111,Lost
12552,40.0,2,437.82,5,2,2,522,Recent Customers
12553,111.0,8,2696.61,3,5,5,355,Loyal Customers
12556,33.0,2,603.71,5,2,3,523,Recent Customers
12557,39.0,4,9000.96,5,4,5,545,Recent Customers
12558,301.0,1,269.96,1,1,2,112,At Risk
12559,311.0,2,561.71,1,2,3,123,At Risk
12560,113.0,3,2134.01,3,3,5,335,Big Spenders
12561,69.0,1,238.85,4,1,2,412,Others
12562,57.0,6,3161.84,4,5,5,455,Loyal Customers
12564,262.0,1,456.9,1,1,3,113,At Risk
12565,289.0,1,145.92,1,1,1,111,Lost
12566,87.0,1,351.65,3,1,2,312,Others
12567,109.0,9,7849.98,3,5,5,355,Loyal Customers
12569,45.0,25,3160.37,4,5,5,455,Loyal Customers
12571,40.0,2,519.61,5,2,3,523,Recent Customers
12572,52.0,2,1020.42,4,2,4,424,Others
12573,228.0,1,160.54,1,1,1,111,Lost
12574,316.0,1,218.45,1,1,1,111,Lost
12576,130.0,5,1315.83,2,4,4,244,Others
12577,243.0,3,657.8,1,3,3,133,At Risk
12578,331.0,1,1608.66,1,1,4,114,At Risk
12579,79.0,1,440.42,3,1,2,312,Others
12580,159.0,1,415.7,2,1,2,212,Others
12581,40.0,1,197.71,5,1,1,511,Recent Customers
12582,239.0,2,511.36,1,2,3,123,At Risk
12583,4.0,13,6569.46,5,5,5,555,Champions
12584,41.0,8,1923.9,5,5,5,555,Champions
12585,235.0,2,2040.1,1,2,5,125,Big Spenders
12587,301.0,1,144.0,1,1,1,111,Lost
12588,40.0,1,214.9,5,1,1,511,Recent Customers
12589,29.0,2,646.68,5,2,3,523,Recent Customers
12590,5.0,2,9864.26,5,2,5,525,Recent Customers
12591,318.0,1,452.85,1,1,2,112,At Risk
12592,66.0,2,437.6,4,2,2,422,Others
12593,109.0,3,418.1,3,3,2,332,Others
12594,47.0,10,3338.22,4,5,5,455,Loyal Customers
12596,36.0,2,618.27,5,2,3,523,Recent Customers
12597,41.0,3,3605.26,5,3,5,535,Recent Customers
12598,29.0,6,2282.94,5,5,5,555,Champions
12599,33.0,7,1032.58,5,5,4,554,Recent Customers
12600,29.0,10,2599.04,5,5,5,555,Champions
12601,39.0,5,577.06,5,4,3,543,Recent Customers
12604,80.0,2,254.18,3,2,2,322,Others
12609,79.0,3,1126.85,3,3,4,334,Others
12610,44.0,4,1851.34,4,4,4,444,Others
12611,53.0,1,1193.32,4,1,4,414,Others
12612,75.0,1,704.04,3,1,3,313,Others
12613,58.0,5,3344.38,4,4,5,445,Big Spenders
12614,160.0,1,315.6,2,1,2,212,Others
12615,72.0,4,2291.19,3,4,5,345,Big Spenders
12616,215.0,2,713.3,1,2,3,123,At Risk
12617,60.0,1,355.53,4,1,2,412,Others
12619,78.0,8,3242.54,3,5,5,355,Loyal Customers
12620,81.0,2,939.32,3,2,4,324,Others
12621,5.0,19,13079.39,5,5,5,555,Champions
12622,233.0,1,180.1,1,1,1,111,Lost
12623,129.0,1,305.1,2,1,2,212,Others
12624,107.0,2,641.13,3,2,3,323,Others
12625,5.0,2,2683.82,5,2,5,525,Recent Customers
12626,44.0,7,4990.96,4,5,5,455,Loyal Customers
12627,109.0,5,2727.83,3,4,5,345,Big Spenders
12628,182.0,2,452.82,2,2,2,222,Others
12630,44.0,1,701.79,4,1,3,413,Others
12631,58.0,1,640.5,4,1,3,413,Others
12633,197.0,3,1948.75,2,3,5,235,Big Spenders
12635,31.0,2,1689.18,5,2,4,524,Recent Customers
12637,92.0,7,5663.5,3,5,5,355,Loyal Customers
12638,182.0,1,671.69,2,1,3,213,Others
12639,239.0,1,486.1,1,1,3,113,At Risk
12640,82.0,1,764.59,3,1,3,313,Others
12641,116.0,1,185.9,3,1,1,311,Others
12642,51.0,2,658.41,4,2,3,423,Others
12643,39.0,6,3344.64,5,5,5,555,Champions
12644,305.0,1,477.91,1,1,3,113,At Risk
12645,110.0,4,1775.18,3,4,4,344,Others
12646,50.0,2,1346.97,4,2,4,424,Others
12647,31.0,11,3401.67,5,5,5,555,Champions
12648,125.0,1,318.05,2,1,2,212,Others
12649,35.0,3,623.51,5,3,3,533,Recent Customers
12650,181.0,1,314.44,2,1,2,212,Others
12651,100.0,1,114.0,3,1,1,311,Others
12652,9.0,1,919.98,5,1,4,514,Recent Customers
12653,149.0,2,2209.85,2,2,5,225,Big Spenders
12654,198.0,4,508.98,2,4,3,243,Others
12656,73.0,4,3465.42,3,4,5,345,Big Spenders
12657,43.0,2,660.94,5,2,3,523,Recent Customers
12659,60.0,1,91.68,4,1,1,411,Others
12662,53.0,9,3400.23,4,5,5,455,Loyal Customers
12664,88.0,6,3927.08,3,5,5,355,Loyal Customers
12665,325.0,1,63.0,1,1,1,111,Lost
12668,260.0,3,2924.47,1,3,5,135,Big Spenders
12669,3.0,3,2744.03,5,3,5,535,Recent Customers
12670,60.0,4,2299.93,4,4,5,445,Big Spenders
12672,330.0,1,225.9,1,1,1,111,Lost
12673,242.0,2,610.52,1,2,3,123,At Risk
12674,92.0,4,1970.6,3,4,5,345,Big Spenders
12676,71.0,5,1149.73,4,4,4,444,Others
12678,43.0,12,17628.46,5,5,5,555,Champions
12679,88.0,3,1000.7,3,3,4,334,Others
12680,31.0,4,862.81,5,4,3,543,Recent Customers
12681,33.0,19,11988.22,5,5,5,555,Champions
12682,2.0,26,10826.28,5,5,5,555,Champions
12683,5.0,15,8476.57,5,5,5,555,Champions
12684,66.0,5,1558.88,4,4,4,444,Others
12685,29.0,6,2863.08,5,5,5,555,Champions
12686,638.0,1,89.14,1,1,1,111,Lost
12688,114.0,1,4873.81,3,1,5,315,Big Spenders
12689,246.0,1,511.03,1,1,3,113,At Risk
12690,206.0,1,389.01,2,1,2,212,Others
12691,29.0,5,732.7,5,4,3,543,Recent Customers
12693,5.0,4,855.91,5,4,3,543,Recent Customers
12694,71.0,2,869.67,4,2,3,423,Others
12695,108.0,3,419.0,3,3,2,332,Others
12697,29.0,3,957.59,5,3,4,534,Recent Customers
12700,127.0,3,3463.8,2,3,5,235,Big Spenders
12701,36.0,2,797.71,5,2,3,523,Recent Customers
12703,72.0,1,283.55,3,1,2,312,Others
12704,79.0,6,2106.51,3,5,5,355,Loyal Customers
12705,43.0,6,5973.59,5,5,5,555,Champions
12707,292.0,1,603.42,1,1,3,113,At Risk
12708,60.0,10,2712.91,4,5,5,455,Loyal Customers
12709,44.0,13,8324.3,4,5,5,455,Loyal Customers
12710,202.0,3,1149.02,2,3,4,234,Others
12712,9.0,13,4396.13,5,5,5,555,Champions
12713,89.0,1,848.55,3,1,3,313,Others
12714,107.0,4,3389.7,3,4,5,345,Big Spenders
12715,107.0,1,353.86,3,1,2,312,Others
12716,134.0,2,1053.49,2,2,4,224,Others
12717,33.0,2,1030.98,5,2,4,524,Recent Customers
12718,72.0,1,238.25,3,1,1,311,Others
12719,242.0,1,361.35,1,1,2,112,At Risk
12720,3.0,21,4450.85,5,5,5,555,Champions
12721,80.0,6,2656.13,3,5,5,355,Loyal Customers
12722,3.0,4,997.63,5,4,4,544,Recent Customers
12723,181.0,1,77.28,2,1,1,211,Others
12724,39.0,4,1031.41,5,4,4,544,Recent Customers
12725,638.0,1,427.8,1,1,2,112,At Risk
12726,29.0,7,2609.1,5,5,5,555,Champions
12727,215.0,6,3337.7,1,5,5,155,Loyal Customers
12728,39.0,4,836.33,5,4,3,543,Recent Customers
12729,114.0,1,453.01,3,1,2,312,Others
12731,35.0,11,17398.39,5,5,5,555,Champions
12732,180.0,1,236.26,2,1,1,211,Others
12733,235.0,1,383.95,1,1,2,112,At Risk
12734,353.0,1,110.4,1,1,1,111,Lost
12735,192.0,2,779.57,2,2,3,223,Others
12736,39.0,1,234.0,5,1,1,511,Recent Customers
12738,666.0,1,155.35,1,1,1,111,Lost
12739,79.0,2,1013.04,3,2,4,324,Others
12743,135.0,2,546.43,2,2,3,223,Others
12744,52.0,7,21279.29,4,5,5,455,Loyal Customers
12747,110.0,9,3207.9,3,5,5,355,Loyal Customers
12748,5.0,169,25083.84,5,5,5,555,Champions
12749,66.0,4,3518.29,4,4,5,445,Big Spenders
12750,277.0,1,275.88,1,1,2,112,At Risk
12752,82.0,1,4366.78,3,1,5,315,Big Spenders
12753,99.0,5,16620.91,3,4,5,345,Big Spenders
12754,160.0,3,3010.74,2,3,5,235,Big Spenders
12755,251.0,2,3811.95,1,2,5,125,Big Spenders
12756,87.0,1,112.08,3,1,1,311,Others
12757,5.0,9,5736.13,5,5,5,555,Champions
12758,117.0,2,2791.59,3,2,5,325,Big Spenders
12759,53.0,3,1531.44,4,3,4,434,Others
12762,301.0,1,1436.93,1,1,4,114,At Risk
12763,139.0,2,494.08,2,2,3,223,Others
12764,317.0,1,1693.88,1,1,4,114,At Risk
12766,58.0,7,6989.63,4,5,5,455,Loyal Customers
12769,239.0,1,1143.6,1,1,4,114,At Risk
12770,211.0,1,1351.45,2,1,4,214,Others
12775,204.0,4,1164.68,2,4,4,244,Others
12778,95.0,4,492.06,3,4,3,343,Others
12779,199.0,8,3981.36,2,5,5,255,Loyal Customers
12781,285.0,1,549.26,1,1,3,113,At Risk
12782,150.0,5,2330.92,2,4,5,245,Big Spenders
12783,54.0,6,2225.91,4,5,5,455,Loyal Customers
12785,424.0,1,311.95,1,1,2,112,At Risk
12787,92.0,2,344.66,3,2,2,322,Others
12790,193.0,1,324.92,2,1,2,212,Others
12791,697.0,1,192.6,1,1,1,111,Lost
12792,257.0,1,400.54,1,1,2,112,At Risk
12793,100.0,2,545.48,3,2,3,323,Others
12794,54.0,2,860.41,4,2,3,423,Others
12797,454.0,1,254.03,1,1,2,112,At Risk
12798,45.0,2,3325.44,4,2,5,425,Big Spenders
12802,187.0,1,427.58,2,1,2,212,Others
12808,126.0,3,483.65,2,3,3,233,Others
12809,178.0,1,489.31,2,1,3,213,Others
12811,261.0,3,514.85,1,3,3,133,At Risk
12812,45.0,1,229.64,4,1,1,411,Others
12814,102.0,1,125.92,3,1,1,311,Others
12815,148.0,2,1063.46,2,2,4,224,Others
12816,177.0,2,572.2,2,2,3,223,Others
12817,282.0,1,166.04,1,1,1,111,Lost
12818,262.0,1,1542.08,1,1,4,114,At Risk
12820,45.0,4,942.34,4,4,4,444,Others
12821,96.0,1,92.72,3,1,1,311,Others
12822,71.0,2,948.88,4,2,4,424,Others
12823,75.0,5,1759.5,3,4,4,344,Others
12826,60.0,7,1474.72,4,5,4,454,Loyal Customers
12827,45.0,3,430.15,4,3,2,432,Others
12828,113.0,5,772.91,3,4,3,343,Others
12829,162.0,2,293.0,2,2,2,222,Others
12830,92.0,6,6814.64,3,5,5,355,Loyal Customers
12831,263.0,1,215.05,1,1,1,111,Lost
12832,152.0,2,383.03,2,2,2,222,Others
12833,146.0,1,417.38,2,1,2,212,Others
12834,310.0,1,312.38,1,1,2,112,At Risk
12836,138.0,3,2112.53,2,3,5,235,Big Spenders
12837,174.0,1,134.1,2,1,1,211,Others
12838,182.0,2,683.13,2,2,3,223,Others
12839,44.0,12,4516.24,4,5,5,455,Loyal Customers
12840,65.0,4,2726.77,4,4,5,445,Big Spenders
12841,4.0,22,3536.26,5,5,5,555,Champions
12842,71.0,2,1118.99,4,2,4,424,Others
12843,66.0,7,1692.31,4,5,4,454,Loyal Customers
12844,60.0,2,325.96,4,2,2,422,Others
12845,268.0,4,354.09,1,4,2,142,At Risk
12849,121.0,2,1050.89,2,2,4,224,Others
12851,245.0,1,135.18,1,1,1,111,Lost
12852,295.0,1,311.55,1,1,2,112,At Risk
12853,135.0,6,1957.1,2,5,5,255,Loyal Customers
12854,6.0,3,1324.5,5,3,4,534,Recent Customers
12855,666.0,1,38.1,1,1,1,111,Lost
12856,29.0,4,1436.8,5,4,4,544,Recent Customers
12857,69.0,2,1106.4,4,2,4,424,Others
12863,53.0,1,521.2,4,1,3,413,Others
12864,139.0,1,147.12,2,1,1,211,Others
12865,124.0,1,981.38,2,1,4,214,Others
12866,341.0,1,559.12,1,1,3,113,At Risk
12867,96.0,6,3025.74,3,5,5,355,Loyal Customers
12868,9.0,6,1607.06,5,5,4,554,Recent Customers
12871,85.0,2,380.64,3,2,2,322,Others
12872,327.0,2,599.97,1,2,3,123,At Risk
12873,310.0,1,374.0,1,1,2,112,At Risk
12875,144.0,2,343.23,2,2,2,222,Others
12876,58.0,2,2218.02,4,2,5,425,Big Spenders
12877,79.0,11,1260.03,3,5,4,354,Loyal Customers
12878,237.0,2,854.99,1,2,3,123,At Risk
12879,45.0,3,573.22,4,3,3,433,Others
12881,98.0,1,298.0,3,1,2,312,Others
12882,182.0,1,471.84,2,1,3,213,Others
12883,31.0,1,291.63,5,1,2,512,Recent Customers
12884,1.0,1,309.05,5,1,2,512,Recent Customers
12885,124.0,1,645.35,2,1,3,213,Others
12886,249.0,1,775.0,1,1,3,113,At Risk
12888,96.0,2,354.12,3,2,2,322,Others
12891,157.0,3,331.0,2,3,2,232,Others
12893,90.0,1,188.14,3,1,1,311,Others
12895,43.0,2,372.8,5,2,2,522,Recent Customers
12897,38.0,2,216.5,5,2,1,521,Recent Customers
12901,35.0,25,16004.23,5,5,5,555,Champions
12902,265.0,1,138.68,1,1,1,111,Lost
12904,173.0,1,244.69,2,1,2,212,Others
12906,79.0,2,1936.59,3,2,5,325,Big Spenders
12908,177.0,2,750.0,2,2,3,223,Others
12909,40.0,5,2178.67,5,4,5,545,Recent Customers
12910,6.0,5,2050.18,5,4,5,545,Recent Customers
12912,41.0,3,1122.3,5,3,4,534,Recent Customers
12913,38.0,4,1401.49,5,4,4,544,Recent Customers
12915,149.0,2,363.65,2,2,2,222,Others
12916,139.0,4,3006.15,2,4,5,245,Big Spenders
12917,277.0,1,594.0,1,1,3,113,At Risk
12919,3.0,5,1065.67,5,4,4,544,Recent Customers
12921,35.0,33,13533.0,5,5,5,555,Champions
12922,337.0,1,405.38,1,1,2,112,At Risk
12924,1.0,4,933.7,5,4,4,544,Recent Customers
12925,75.0,2,694.05,3,2,3,323,Others
12928,6.0,5,2062.7,5,4,5,545,Recent Customers
12929,342.0,1,117.85,1,1,1,111,Lost
12930,79.0,2,415.8,3,2,2,322,Others
12931,32.0,12,37491.9,5,5,5,555,Champions
12933,172.0,2,357.49,2,2,2,222,Others
12935,110.0,6,1879.12,3,5,4,354,Loyal Customers
12936,79.0,1,798.46,3,1,3,313,Others
12937,72.0,3,826.44,3,3,3,333,Others
12939,37.0,6,9036.12,5,5,5,555,Champions
12940,55.0,2,913.54,4,2,4,424,Others
12942,132.0,3,683.9,2,3,3,233,Others
12944,243.0,2,604.51,1,2,3,123,At Risk
12945,289.0,1,462.95,1,1,3,113,At Risk
12947,65.0,6,1603.99,4,5,4,454,Loyal Customers
12948,45.0,5,1551.64,4,4,4,444,Others
12949,90.0,8,4167.22,3,5,5,355,Loyal Customers
12950,151.0,2,1531.4,2,2,4,224,Others
12951,174.0,6,1064.07,2,5,4,254,Loyal Customers
12952,44.0,4,1387.79,4,4,4,444,Others
12955,53.0,10,3915.14,4,5,5,455,Loyal Customers
12956,191.0,1,108.07,2,1,1,211,Others
12957,72.0,6,2640.72,3,5,5,355,Loyal Customers
12962,114.0,2,266.39,3,2,2,322,Others
12963,54.0,4,989.58,4,4,4,444,Others
12965,31.0,1,771.91,5,1,3,513,Recent Customers
12967,359.0,2,1660.9,1,2,4,124,At Risk
12968,113.0,1,135.95,3,1,1,311,Others
12970,301.0,4,452.24,1,4,2,142,At Risk
12971,9.0,76,9441.01,5,5,5,555,Champions
12974,198.0,1,144.8,2,1,1,211,Others
12976,5.0,1,738.6,5,1,3,513,Recent Customers
12977,186.0,1,39.24,2,1,1,211,Others
12980,9.0,9,7374.9,5,5,5,555,Champions
12981,60.0,2,372.22,4,2,2,422,Others
12982,36.0,1,390.54,5,1,2,512,Recent Customers
12985,29.0,2,1239.38,5,2,4,524,Recent Customers
12987,74.0,2,558.7,3,2,3,323,Others
12988,293.0,1,535.32,1,1,3,113,At Risk
12989,1.0,12,5718.59,5,5,5,555,Champions
12990,121.0,3,409.5,2,3,2,232,Others
12991,113.0,1,303.56,3,1,2,312,Others
12993,32.0,3,372.4,5,3,2,532,Recent Customers
12994,32.0,3,974.42,5,3,4,534,Recent Customers
12995,86.0,1,211.32,3,1,1,311,Others
12997,1.0,3,916.39,5,3,4,534,Recent Customers
12999,128.0,3,455.88,2,3,2,232,Others
13000,107.0,3,534.85,3,3,3,333,Others
13001,126.0,12,9206.43,2,5,5,255,Loyal Customers
13002,319.0,1,120.95,1,1,1,111,Lost
13003,33.0,3,149.05,5,3,1,531,Recent Customers
13004,70.0,14,4510.23,4,5,5,455,Loyal Customers
13005,159.0,2,513.7,2,2,3,223,Others
13006,57.0,1,81.57,4,1,1,411,Others
13008,324.0,1,229.47,1,1,1,111,Lost
13011,666.0,1,50.55,1,1,1,111,Lost
13012,66.0,5,1205.84,4,4,4,444,Others
13013,35.0,11,4296.48,5,5,5,555,Champions
13014,75.0,8,2845.48,3,5,5,355,Loyal Customers
13015,54.0,5,3346.28,4,4,5,445,Big Spenders
13016,74.0,3,789.89,3,3,3,333,Others
13017,301.0,1,204.0,1,1,1,111,Lost
13018,73.0,23,6080.83,3,5,5,355,Loyal Customers
13021,71.0,8,2223.81,4,5,5,455,Loyal Customers
13023,305.0,1,336.4,1,1,2,112,At Risk
13026,98.0,5,975.36,3,4,4,344,Others
13027,114.0,6,6912.0,3,5,5,355,Loyal Customers
13028,46.0,1,355.94,4,1,2,412,Others
13029,90.0,3,1247.5,3,3,4,334,Others
13030,546.0,1,427.74,1,1,2,112,At Risk
13032,53.0,2,1010.18,4,2,4,424,Others
13033,358.0,1,190.55,1,1,1,111,Lost
13034,55.0,2,642.77,4,2,3,423,Others
13035,74.0,2,921.88,3,2,4,324,Others
13037,139.0,3,881.07,2,3,3,233,Others
13038,81.0,3,908.46,3,3,4,334,Others
13040,182.0,2,676.99,2,2,3,223,Others
13043,37.0,1,516.42,5,1,3,513,Recent Customers
13044,292.0,1,560.47,1,1,3,113,At Risk
13045,335.0,1,305.28,1,1,2,112,At Risk
13046,90.0,2,629.31,3,2,3,323,Others
13047,57.0,10,3237.54,4,5,5,455,Loyal Customers
13048,114.0,3,1375.05,3,3,4,334,Others
13049,319.0,1,153.78,1,1,1,111,Lost
13050,46.0,15,5124.51,4,5,5,455,Loyal Customers
13052,35.0,1,348.15,5,1,2,512,Recent Customers
13055,66.0,3,1214.41,4,3,4,434,Others
13058,33.0,1,47.55,5,1,1,511,Recent Customers
13059,250.0,1,183.4,1,1,1,111,Lost
13060,254.0,1,307.53,1,1,2,112,At Risk
13061,73.0,1,248.61,3,1,2,312,Others
13062,338.0,1,346.98,1,1,2,112,At Risk
13064,1.0,3,842.33,5,3,3,533,Recent Customers
13065,697.0,1,205.86,1,1,1,111,Lost
13066,152.0,1,151.81,2,1,1,211,Others
13067,83.0,1,115.46,3,1,1,311,Others
13068,320.0,1,165.0,1,1,1,111,Lost
13069,2.0,23,4280.03,5,5,5,555,Champions
13070,193.0,1,228.8,2,1,1,211,Others
13072,267.0,1,177.15,1,1,1,111,Lost
13075,305.0,1,919.61,1,1,4,114,At Risk
13077,120.0,4,729.27,3,4,3,343,Others
13078,4.0,20,9942.77,5,5,5,555,Champions
13079,76.0,4,202.4,3,4,1,341,Others
13080,180.0,1,58.08,2,1,1,211,Others
13081,60.0,10,26213.46,4,5,5,455,Loyal Customers
13082,177.0,9,3613.63,2,5,5,255,Loyal Customers
13083,76.0,2,303.75,3,2,2,322,Others
